0,"[{'value': 13.544353336754304, 'score': 2.494368925111866}, {'value': 13.418926551283153, 'score': None}, {'value': 0.361621581156224, 'score': None}, {'value': 17.942160005604105, 'score': None}, {'value': 9.99826831384815, 'score': None}, {'value': 14.999414539208686, 'score': None}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 14.418946281720642, 'score': 2.4930302274371168}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 0.361621581156224, 'score': None}, {'value': 17.942160005604105, 'score': None}, {'value': 9.99826831384815, 'score': None}, {'value': 14.999414539208686, 'score': None}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 14.418946281720642, 'score': 2.493424446817187}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 17.942160005604105, 'score': None}, {'value': 9.99826831384815, 'score': None}, {'value': 14.999414539208686, 'score': None}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 14.418946281720642, 'score': 2.4925666091202343}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 9.99826831384815, 'score': None}, {'value': 14.999414539208686, 'score': None}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 14.418946281720642, 'score': 2.4928570035703648}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': None}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 15.997461981093005, 'score': 2.493964987581404}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 14.917321203412948, 'score': None}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 15.997461981093005, 'score': 2.492427141421}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 16.98493316359007, 'score': 2.4924908701723556}, {'value': 9.45807278700242, 'score': None}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 15.997461981093005, 'score': 2.492389586423667}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 16.98493316359007, 'score': 2.4924908701723556}, {'value': 14.722072652801813, 'score': 2.494188031796822}, {'value': 2.97320809681213, 'score': None}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 15.997461981093005, 'score': 2.4918737670775766}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 16.98493316359007, 'score': 2.4924908701723556}, {'value': 14.722072652801813, 'score': 2.494188031796822}, {'value': 6.361316071932173, 'score': 2.54568911757585}, {'value': 6.643907463338261, 'score': None}]"
0,"[{'value': 15.997461981093005, 'score': 2.4919777774460488}, {'value': 13.418926551283153, 'score': 2.491626778153022}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 16.98493316359007, 'score': 2.4924908701723556}, {'value': 14.722072652801813, 'score': 2.494188031796822}, {'value': 6.361316071932173, 'score': 2.54568911757585}, {'value': 11.543478717327696, 'score': 2.5027102412992344}]"
0,"[{'value': 15.997461981093005, 'score': 2.4918790087549487}, {'value': 16.83159439722846, 'score': 2.492275330120096}, {'value': 3.310121518350954, 'score': 2.9763858963969057}, {'value': 15.830229691621273, 'score': 2.493283502519124}, {'value': 14.63421361955515, 'score': 2.4945704924740157}, {'value': 14.999414539208686, 'score': 2.491963776585738}, {'value': 16.98493316359007, 'score': 2.4924908701723556}, {'value': 14.722072652801813, 'score': 2.494188031796822}, {'value': 6.361316071932173, 'score': 2.54568911757585}, {'value': 11.543478717327696, 'score': 2.5027102412992344}]"
